# Generated by G. Mace on Thu Feb  9 16:34:12 2017
# Uncertainty is the standard deviation of all epochs.
#======================================================
# Wavelength         Norm. Flux          Uncertainty   
#  (microns)          (counts)            (counts)     
#======================================================
       1.8942935      0.65437107      0.33381376
       1.8943002      0.73832863      0.34882276
       1.8943069      0.80563937      0.33533408
       1.8943136      0.87394912      0.29145078
       1.8943203      0.91968585      0.22328756
       1.8943270      0.92874212      0.15731040
       1.8943338      0.96212479      0.13343904
       1.8943405       1.0255495      0.16321028
       1.8943472       1.1212311      0.22768290
       1.8943539       1.1873831      0.29020573
       1.8943606       1.2402631      0.34155665
       1.8943673       1.2905705      0.39198383
       1.8943740       1.3382974      0.45235875
       1.8943807       1.3834358      0.52397484
       1.8943874       1.4259778      0.60013726
       1.8943941       1.4659155      0.67174777
       1.8944008       1.5032408      0.73027617
       1.8944075       1.5224924      0.76743254
       1.8944142       1.5061315      0.77562783
       1.8944209       1.4486827      0.74885523
       1.8944276       1.3611609      0.67874747
       1.8944343       1.2576952      0.56828126
       1.8944410       1.1413883      0.46166425
       1.8944477       1.0572098      0.42008526
       1.8944544      0.94410445      0.45616470
       1.8944611      0.83321805      0.52941070
       1.8944678      0.71322766      0.59036543
       1.8944745      0.66844201      0.63247963
       1.8944812      0.66379728      0.66560416
       1.8944879      0.66952517      0.69706773
       1.8944946      0.66246731      0.72834691
       1.8945013      0.65009236      0.75694036
       1.8945080      0.63441719      0.77934412
       1.8945147      0.62048396      0.79353140
       1.8945214      0.60912090      0.79809631
       1.8945281      0.60150322      0.79174946
       1.8945348      0.60007326      0.76838885
       1.8945415      0.60593533      0.72195488
       1.8945482      0.61984682      0.65179416
       1.8945549      0.64129794      0.56531095
       1.8945616      0.67111694      0.47152141
       1.8945683      0.71013207      0.37575412
       1.8945750      0.76763239      0.27880025
       1.8945817      0.87823388      0.18798672
       1.8945884      0.97991222      0.13487941
       1.8945951       1.0580358      0.13920431
       1.8946017       1.1122600      0.19087808
       1.8946084       1.2030267      0.24769905
       1.8946151       1.3741862      0.28731691
       1.8946218       1.5417717      0.28575427
       1.8946285       1.6654833      0.25773311
       1.8946352       1.7334338      0.19745819
       1.8946419       1.7099083      0.17140516
       1.8946486       1.6675545      0.19682515
       1.8946553       1.5500923      0.29189089
       1.8946620       1.4229186      0.41097278
       1.8946686       1.2449012      0.49985451
       1.8946753       1.2081672      0.54923557
       1.8946820       1.3041104      0.57412109
       1.8946887       1.4803057      0.58627380
       1.8946954       1.5379824      0.56268619
       1.8947021       1.4827626      0.48129180
       1.8947088       1.3618400      0.35743456
       1.8947155       1.2349925      0.22728205
       1.8947221       1.1510108      0.16619371
       1.8947288       1.1192978      0.21154984
       1.8947355       1.1745855      0.34716020
       1.8947422       1.3112885      0.50226017
       1.8947489       1.5239546      0.67516916
       1.8948691       1.9248567      0.74254719
       1.8948758       2.0941403      0.50404096
       1.8948824       1.9615844      0.49025505
       1.8948891       1.7268078      0.69482541
       1.8949959       1.5577549      0.62059767
       1.8950025       1.7053338      0.52713508
       1.8950092       1.8030484      0.66086671
       1.8950159       1.8870145      0.86656920
       1.8950359       1.9933862      0.88263482
       1.8950425       1.9832247      0.72323590
